Experiment ID,Model,Optimizer,LR,Batch Size,Dropout,Epochs,Best Test Accuracy (%),Final Test Accuracy (%)
DeepConvNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actELU_a0.5,DeepConvNet,Adam,0.001,32,0.5,200,83.52%,82.50%
DeepConvNet_optAdam_bs32_lr0.001_dp0.25_ep200_wd1e-5_actReLU,DeepConvNet,Adam,0.001,32,0.25,200,83.43%,82.04%
DeepConvNet_optAdam_bs32_lr0.0007_dp0.25_ep200_wd1e-5_actLeakyReLU,DeepConvNet,Adam,0.0007,32,0.25,200,83.15%,80.19%
DeepConvNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actLeakyReLU,DeepConvNet,Adam,0.001,32,0.5,200,83.15%,81.30%
DeepConvNet_optAdam_bs32_lr0.0007_dp0.5_ep200_wd1e-5_actReLU,DeepConvNet,Adam,0.0007,32,0.5,200,82.69%,81.39%
DeepConvNet_optAdam_bs32_lr0.001_dp0.25_ep200_wd1e-5_actELU_a0.5,DeepConvNet,Adam,0.001,32,0.25,200,82.50%,78.33%
DeepConvNet_optAdam_bs16_lr0.0003_dp0.5_ep200_wd1e-4_actLeakyReLU,DeepConvNet,Adam,0.0003,16,0.5,200,82.41%,80.83%
DeepConvNet_optAdam_bs16_lr0.0007_dp0.5_ep200_wd1e-4_actLeakyReLU,DeepConvNet,Adam,0.0007,16,0.5,200,82.22%,80.46%
DeepConvNet_optAdam_bs32_lr0.0003_dp0.5_ep200_wd1e-5_actReLU,DeepConvNet,Adam,0.0003,32,0.5,200,82.22%,80.65%
DeepConvNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actReLU,DeepConvNet,Adam,0.001,32,0.5,200,82.22%,80.65%
DeepConvNet_optAdam_bs16_lr0.0007_dp0.5_ep200_wd1e-4_actReLU,DeepConvNet,Adam,0.0007,16,0.5,200,82.13%,80.46%
DeepConvNet_optAdam_bs32_lr0.0015_dp0.5_ep200_wd1e-5_actReLU,DeepConvNet,Adam,0.0015,32,0.5,200,81.85%,80.74%
DeepConvNet_optAdam_bs16_lr0.0003_dp0.5_ep200_wd1e-4_actReLU,DeepConvNet,Adam,0.0003,16,0.5,200,81.76%,80.09%
DeepConvNet_optAdam_bs32_lr0.0007_dp0.25_ep200_wd1e-5_actELU_a0.5,DeepConvNet,Adam,0.0007,32,0.25,200,81.48%,78.61%
DeepConvNet_optAdam_bs16_lr0.0003_dp0.5_ep200_wd1e-4_actELU_a1.0,DeepConvNet,Adam,0.0003,16,0.5,200,81.30%,80.00%
DeepConvNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actELU_a1.0,DeepConvNet,Adam,0.001,32,0.5,200,81.11%,78.52%
DeepConvNet_optAdam_bs16_lr0.0003_dp0.75_ep200_wd1e-4_actELU_a0.5,DeepConvNet,Adam,0.0003,16,0.75,200,79.54%,79.54%
DeepConvNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actELU_a1.5,DeepConvNet,Adam,0.001,32,0.5,200,79.07%,77.41%
DeepConvNet_optAdam_bs16_lr0.0003_dp0.75_ep200_wd1e-4_actReLU,DeepConvNet,Adam,0.0003,16,0.75,200,77.78%,76.85%
EEGNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actReLU,EEGNet,Adam,0.001,32,0.5,200,88.70%,88.61%
EEGNet_optAdam_bs32_lr0.0007_dp0.5_ep200_wd1e-5_actReLU,EEGNet,Adam,0.0007,32,0.5,200,87.96%,87.96%
EEGNet_optAdam_bs32_lr0.001_dp0.25_ep200_wd1e-5_actReLU,EEGNet,Adam,0.001,32,0.25,200,87.96%,86.67%
EEGNet_optAdam_bs32_lr0.0007_dp0.25_ep200_wd1e-5_actLeakyReLU,EEGNet,Adam,0.0007,32,0.25,200,87.87%,87.22%
EEGNet_optAdam_bs32_lr0.0015_dp0.5_ep200_wd1e-5_actReLU,EEGNet,Adam,0.0015,32,0.5,200,87.87%,86.85%
EEGNet_optAdam_bs32_lr0.0007_dp0.25_ep200_wd1e-5_actELU_a0.5,EEGNet,Adam,0.0007,32,0.25,200,87.41%,87.41%
EEGNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actELU_a0.5,EEGNet,Adam,0.001,32,0.5,200,87.41%,86.94%
EEGNet_optAdam_bs32_lr0.001_dp0.25_ep200_wd1e-5_actELU_a0.5,EEGNet,Adam,0.001,32,0.25,200,86.94%,85.74%
EEGNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actLeakyReLU,EEGNet,Adam,0.001,32,0.5,200,86.67%,86.20%
EEGNet_optAdam_bs32_lr0.0003_dp0.5_ep200_wd1e-5_actReLU,EEGNet,Adam,0.0003,32,0.5,200,85.37%,85.09%
EEGNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actELU_a1.0,EEGNet,Adam,0.001,32,0.5,200,83.33%,80.93%
EEGNet_optAdam_bs32_lr0.001_dp0.5_ep200_wd1e-5_actELU_a1.5,EEGNet,Adam,0.001,32,0.5,200,81.11%,79.72%
